Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,10:15,School,Uitlegsessie VOP,,
09/02/16,10:15,12:15,School,"Planning, afspraken en start product backlog",,
09/02/16,14:45,14:50,School,Initial commit and wiki page,,
09/02/16,19:40,19:55,Thuis,"Sprint #1 wiki nalezen, correcties aanbevelen en README aangevuld",,
11/02/16,13:45,15:30,School,"Vergadering tijdens springuren tussen Niels, Tomas, Thomas en Aaron. Issues en bespreking verdere planning",,
14/02/16,20:00,23:00,Thuis,"Issue's aanmaken (23, 26 en 27) + werken aan issue 26 (zie daar voor details) + dev wiki aanvullen",26,
15/02/16,20:00,21:00,Thuis,Afwerken config file feature,26,
16/02/16,08:15,12:15,School,"Scrum meeting, issues overlopen en bespreken, toekennen taakverdeling",,
20/02/16,13:30,17:30,Thuis,"IntelliJ configuratie in orde gebracht, alle projecten op Java 8 gezet, foute config files uit het web project gehaald, dev env wiki aangevuld, .gitignore in orde gebracht en FloorToNearest5min (DB) werkend krijgen.",,
22/02/16,21:30,23:30,Thuis,"Bestaande code goed overlopen en bemerkingen opschrijven voor morgenmiddag, werken aan issue 27",17,
23/02/16,08:15,12:15,School,"Scrum meeting, taakverdeling en zelfstandig verder werken",17,
23/02/16,14:45,15:30,School,Algemene trajectinfo afgewerkt en RouteSummary vervangen door RouteData,17,
23/02/16,21:00,22:00,Thuis,"Kalender en table afgewerkt, plus algemene structuur",17,
27/02/16,12:00,19:00,Thuis,"RouteData niet meer via JSP, maar AJAX calls. Filter in order gebracht. Datum en tijd wordt goed geformatteerd. Issues 48-51 gemaakt.",17,Issue 17 was te groot en moest opgedeeld geweest zijn.
28/02/16,20:00,00:00,Thuis,"Tabel sortable gemaakt, kleine UI change en kleine bugfix. Grafiek is nu ook dynamisch en de assen zijn in orde.",17,
01/02/16,08:15,12:15,School,"VOP meeting, plus werken aan issues","17, 45, 51",
02/02/16,14:30,15:30,School,"Voorbeeld analyse document op repo gezet, issue management en latex document helpen opstellen",,
02/02/16,19:30,19:40,Thuis,Projectdossier doorgenomen,,
