Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,10:15,School,Uitlegsessie VOP,,
09/02/16,10:15,12:30,School,Planning en eerste versie van Product Backlog,,
09/02/16,14:40,15:10,School,Beschikbare documentatie volledig doornemen,,
11/02/16,13:45,15:30,School,"Vergadering tijdens springuren tussen Niels, Tomas, Thomas en Aaron. Issues en bespreking verdere planning",,
13/02/16,10:00,12:00,Thuis,Eigen worden met Java in Netbeans,,
13/02/16,13:00,14:30,Thuis,Opzoekwerk Google Provider,10,
13/02/16,14:45,17:00,Thuis,Google Provider Test implementeren om data uit te lezen van API,10,
16/02/16,08:15,12:15,School,"Stand-Up Meeting, Issues overlopen en sluiten, Presentatie verkeerscentrum, taakverdeling volgende dagen",,
18/02/16,10:30,11:00,School,Presentaties Bedrijven,,
20/02/16,14:00,16:45,Thuis,"MariaDB opzetten, bestaande code bekijken en beheersen, Google Provider implementeren en testklasse geschreven",10,
24/02/16,15:00,16:20,Thuis,Google Provider implementeren via java API, 10,
25/02/16,14:00,15:00,Thuis,Zoeken naar oplossing om zowel traffic time als normale tijd uit API te krijgen (Geen mogelijkheid in gratis versie),10,
25/02/16,15:00,15:30,Thuis,Videocall met Thomas voor uitleg van afgelopen gebeurtenissen,,
25/02/16,16:00,18:00,Thuis,Implementatie van eigen client via json2pojo en retrofit om zo ook traffic time uit te kunnen lezen,10,
25/02/16,20:00,20:50,Thuis,Debuggen van fout in ontvangen van de data. Parameters werden niet goed geconcatineerd,10,
01/03/16,08:15,12:15,School,"Scrum meeting, issues bespreken, google provider mergen met develop, taakverdeling opstellen, product backlog + nakijken code groepsleden",,
