Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,10:15,School,"Uitlegsessie VOP",,
09/02/16,10:15,12:15,School,"Documentatie project doornemen bespreken en starten product backlog",,
11/02/16,13:30,15:45,School,"Issues besproken; discussion op Git gestart ivm. Taakverdeling en project creatie; issue #8 aan mezelf toegekend",8,
11/02/16,21:00,22:30,Thuis,"Logboek aanpassen, creëren milestone, eerste opzoeking API's Here Maps",,
13/02/16,13:00,16:00,Thuis,"Installatie netbeans; downloaden maria DB, installatie GitGUI; leren werken met GIT",,
16/02/16,08:15,12:30,School,"Standup meeting, overlopen issues en issues toewijzen verschillende personen, presentatie klant bijwonen, klant bevragen",,
16/02/16,14:30,15:30,School,"Installatie en configuratie mariaDB op laptop",,
17/02/16,21:00,22:00,Thuis,"Aanvragen API-keys HereMaps; documentatie API HereMaps doornemen",8,
18/02/16,11:00,12:00,School,"Documentatie API HereMaps doornemen + project in Netbeans openen",8,
18/02/16,13:00,15:15,School,"HereMaps provider aangemaakt; json wordt ingeladen maar nog niet geparsed",8,
21/02/16,15:00,17:00,Thuis,"Bekijken JSON2Pojo; En huidige implementatie providers in het project",8,
23/02/16,08:15,12:30,School,"Standup meeting, issues besproken, HereMaps provider afgewerkt en getest, issues verder verdeeld",,
23/02/16,14:45,15:45,School,"Eerste tests met de API van Bing Maps. API key aangevraagd van Bing Maps",42,
25/02/16,15:00,15:45,School,"Videocall met Niels om te helpen met Google Maps provider implementatie in het project (Niels was enkele dagen afwezig wegens ziekte)",10,
28/02/16,15:00,18:45,Thuis,"Implementatie van de Bing Maps provider adhv de Rest API, provider nog niet kunnen testen",42,
01/03/16,08:15,12:30,School,"Stand-up meeting, bespreken wat iedereen gedaan heeft en waarbij men hulp wenst, bespreken openstaande issues, problemen met BingMaps provider oplossen, issues verdelen",42,
01/03/16,14:45,15:30,School,"Eerste implementatie van de logger die alle logs bewaard in een tabel van onze database",39,
03/03/16,13:00,15:30,Bibliotheek,"Samen met Niels een Mockup gemaakt voor de home page en de gebruikershandleiding deels getypt",52,
04/03/16,10:20,11:15,School,"Gebruikershandleiding voor eerste sprint afgewerkt (nog zonder afbeeldingen)",52,
04/03/16,17:20,17:35,Thuis,"Gebruikershandleiding nagelezen op fouten",52,
07/03/16,18:25,19:25,Thuis,"Readme.md nagelezen en gecontrolleerd of alle benodigede zaken er in staan.",52,
